category,input,alias,ipa,priority
Branding & Grundbegriffe,DĀR AL TAWḤĪD,Daar al Tauhiid,daːr al tawˈħiːd,core
Branding & Grundbegriffe,Dār al-Tawḥīd,Daar al Tauhiid,daːr al tawˈħiːd,core
Branding & Grundbegriffe,Tawḥīd,Tauhiid,tawˈħiːd,core
Branding & Grundbegriffe,ʿAqīdah,A-qiidah,ʕaˈqiːda,core
Branding & Grundbegriffe,Islām,Islaam,islaːm,core
Branding & Grundbegriffe,Muslim,Muslim,muslim,core
Branding & Grundbegriffe,Muslimah,Muslimah,muslimah,core
Branding & Grundbegriffe,Muslimūn,Muslimuun,muslimuːn,core
Branding & Grundbegriffe,Muʾmin,Mu-min,muʔmin,core
Branding & Grundbegriffe,Muʾminah,Mu-minah,muʔminah,core
Branding & Grundbegriffe,Muʾminūn,Mu-minuun,muʔminuːn,core
Branding & Grundbegriffe,Īmān,Iimaan,iːmaːn,core
Branding & Grundbegriffe,Iḥsān,Ihsaan,iħsaːn,core
Branding & Grundbegriffe,Dīn,Diin,diːn,core
Branding & Grundbegriffe,Millah,Millah,millah,core
Branding & Grundbegriffe,Ummah,Ummah,ummah,core
Branding & Grundbegriffe,Šarīʿah,Scharii-ah,ʃariːʕah,core
Branding & Grundbegriffe,Manhaj,Manhaj,manhaj,core
Branding & Grundbegriffe,Sunnah,Sunnah,sunnah,core
Branding & Grundbegriffe,Bidʿah,Bid-ah,bidʕah,core
Branding & Grundbegriffe,Salaf,Salaf,salaf,core
Branding & Grundbegriffe,Khalaf,Khalaf,xalaf,core
Branding & Grundbegriffe,Ahl as-Sunnah,Ahl as-Sunnah,ahl as.sunnah,core
Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
Branding & Grundbegriffe,Ahl al-Ḥadīṯ,Ahl al-Hadiith,ahl al.ħadiːθ,core
Branding & Grundbegriffe,Ahl al-Aṯar,Ahl al-Athar,ahl al.aθar,core
Branding & Grundbegriffe,Ahl al-Bayt,Ahl al-Bayt,ahl al.bajt,core
Branding & Grundbegriffe,Tawḥīd ar-Rubūbiyyah,Tawhiid ar-Rubuubiyyah,tawħiːd ar.rubuːbijjah,core
Branding & Grundbegriffe,Tawḥīd al-Ulūhiyyah,Tawhiid al-Uluuhiyyah,tawħiːd al.uluːhijjah,core
Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
Branding & Grundbegriffe,Rubūbiyyah,Rubuubiyyah,rubuːbijjah,core
Branding & Grundbegriffe,Ulūhiyyah,Uluuhiyyah,uluːhijjah,core
Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
Branding & Grundbegriffe,Širk,Schirk,ʃirk,core
