category,canonical,string_to_replace,alias,ipa,priority
Branding & Grundbegriffe,DĀR AL TAWḤĪD,DĀR AL TAWḤĪD,Daar at-Tauhiid,/daːr at.tawˈħiːd/,core
Weitere Begriffe,DAR AL TAWHID,DAR AL TAWHID,Daar at-Tauhiid,/daːr at.tawˈħiːd/,extended
Weitere Begriffe,dār al tawḥīd,dār al tawḥīd,Daar at-Tauhiid,/daːr at.tawˈħiːd/,extended
Weitere Begriffe,dar al tawhid,dar al tawhid,Daar at-Tauhiid,/daːr at.tawˈħiːd/,extended
Branding & Grundbegriffe,Dār al-Tawḥīd,Dār al-Tawḥīd,Daar at-Tauhiid,/daːr at.tawˈħiːd/,core
Weitere Begriffe,Dar al-Tawhid,Dar al-Tawhid,Daar at-Tauhiid,/daːr at.tawˈħiːd/,extended
Weitere Begriffe,dār al-tawḥīd,dār al-tawḥīd,Daar at-Tauhiid,/daːr at.tawˈħiːd/,extended
Weitere Begriffe,dar al-tawhid,dar al-tawhid,Daar at-Tauhiid,/daːr at.tawˈħiːd/,extended
Branding & Grundbegriffe,Tawḥīd,Tawḥīd,Tauhiid,/tawˈħiːd/,core
Weitere Begriffe,Tawhid,Tawhid,Tauhiid,/tawˈħiːd/,extended
Weitere Begriffe,tawḥīd,tawḥīd,Tauhiid,/tawˈħiːd/,extended
Weitere Begriffe,tawhid,tawhid,Tauhiid,/tawˈħiːd/,extended
Branding & Grundbegriffe,ʿAqīdah,ʿAqīdah,A-qiidah,/ʕaˈqiːda/,core
Weitere Begriffe,'Aqidah,'Aqidah,A-qiidah,/ʕaˈqiːda/,extended
Weitere Begriffe,Aqidah,Aqidah,A-qiidah,/ʕaˈqiːda/,extended
Weitere Begriffe,ʿaqīdah,ʿaqīdah,A-qiidah,/ʕaˈqiːda/,extended
Weitere Begriffe,'aqidah,'aqidah,A-qiidah,/ʕaˈqiːda/,extended
Weitere Begriffe,aqidah,aqidah,A-qiidah,/ʕaˈqiːda/,extended
Branding & Grundbegriffe,Islām,Islām,Islaam,/islaːm/,core
Weitere Begriffe,Islam,Islam,Islaam,/islaːm/,extended
Weitere Begriffe,islām,islām,Islaam,/islaːm/,extended
Weitere Begriffe,islam,islam,Islaam,/islaːm/,extended
Branding & Grundbegriffe,Muslim,Muslim,Muslim,/muslim/,core
Weitere Begriffe,muslim,muslim,Muslim,/muslim/,extended
Branding & Grundbegriffe,Muslimah,Muslimah,Muslimah,/muslimah/,core
Weitere Begriffe,muslimah,muslimah,Muslimah,/muslimah/,extended
Branding & Grundbegriffe,Muslimūn,Muslimūn,Muslimuun,/muslimuːn/,core
Weitere Begriffe,Muslimun,Muslimun,Muslimuun,/muslimuːn/,extended
Weitere Begriffe,muslimūn,muslimūn,Muslimuun,/muslimuːn/,extended
Weitere Begriffe,muslimun,muslimun,Muslimuun,/muslimuːn/,extended
Branding & Grundbegriffe,Muʾmin,Muʾmin,Mu-min,/muʔmin/,core
Weitere Begriffe,Mu'min,Mu'min,Mu-min,/muʔmin/,extended
Weitere Begriffe,Mumin,Mumin,Mu-min,/muʔmin/,extended
Weitere Begriffe,muʾmin,muʾmin,Mu-min,/muʔmin/,extended
Weitere Begriffe,mu'min,mu'min,Mu-min,/muʔmin/,extended
Weitere Begriffe,mumin,mumin,Mu-min,/muʔmin/,extended
Branding & Grundbegriffe,Muʾminah,Muʾminah,Mu-minah,/muʔminah/,core
Weitere Begriffe,Mu'minah,Mu'minah,Mu-minah,/muʔminah/,extended
Weitere Begriffe,Muminah,Muminah,Mu-minah,/muʔminah/,extended
Weitere Begriffe,muʾminah,muʾminah,Mu-minah,/muʔminah/,extended
Weitere Begriffe,mu'minah,mu'minah,Mu-minah,/muʔminah/,extended
Weitere Begriffe,muminah,muminah,Mu-minah,/muʔminah/,extended
Branding & Grundbegriffe,Muʾminūn,Muʾminūn,Mu-minuun,/muʔminuːn/,core
Weitere Begriffe,Mu'minun,Mu'minun,Mu-minuun,/muʔminuːn/,extended
Weitere Begriffe,Muminun,Muminun,Mu-minuun,/muʔminuːn/,extended
Weitere Begriffe,muʾminūn,muʾminūn,Mu-minuun,/muʔminuːn/,extended
Weitere Begriffe,mu'minun,mu'minun,Mu-minuun,/muʔminuːn/,extended
Weitere Begriffe,muminun,muminun,Mu-minuun,/muʔminuːn/,extended
Branding & Grundbegriffe,Īmān,Īmān,Iimaan,/iːmaːn/,core
Weitere Begriffe,Iman,Iman,Iimaan,/iːmaːn/,extended
Weitere Begriffe,īmān,īmān,Iimaan,/iːmaːn/,extended
Weitere Begriffe,iman,iman,Iimaan,/iːmaːn/,extended
Branding & Grundbegriffe,Iḥsān,Iḥsān,Ihsaan,/iħsaːn/,core
Weitere Begriffe,Ihsan,Ihsan,Ihsaan,/iħsaːn/,extended
Weitere Begriffe,iḥsān,iḥsān,Ihsaan,/iħsaːn/,extended
Weitere Begriffe,ihsan,ihsan,Ihsaan,/iħsaːn/,extended
Branding & Grundbegriffe,Dīn,Dīn,Diin,/diːn/,core
Weitere Begriffe,Din,Din,Diin,/diːn/,extended
Weitere Begriffe,dīn,dīn,Diin,/diːn/,extended
Weitere Begriffe,din,din,Diin,/diːn/,extended
Branding & Grundbegriffe,Millah,Millah,Millah,/millah/,core
Weitere Begriffe,millah,millah,Millah,/millah/,extended
Branding & Grundbegriffe,Ummah,Ummah,Ummah,/ummah/,core
Weitere Begriffe,ummah,ummah,Ummah,/ummah/,extended
Branding & Grundbegriffe,Šarīʿah,Šarīʿah,Scharii-ah,/ʃariːʕah/,core
Weitere Begriffe,Shari'ah,Shari'ah,Scharii-ah,/ʃariːʕah/,extended
Weitere Begriffe,Shariah,Shariah,Scharii-ah,/ʃariːʕah/,extended
Weitere Begriffe,šarīʿah,šarīʿah,Scharii-ah,/ʃariːʕah/,extended
Weitere Begriffe,shari'ah,shari'ah,Scharii-ah,/ʃariːʕah/,extended
Weitere Begriffe,shariah,shariah,Scharii-ah,/ʃariːʕah/,extended
