<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dar_al_tawhid_canonical_terms.csv>index,category,input,alias,ipa,priority
0,Branding & Grundbegriffe,DĀR AL TAWḤĪD,Daar at-Tauhiid,daːr at.tawˈħiːd,core
1,Branding & Grundbegriffe,Dār al-Tawḥīd,Daar at-Tauhiid,daːr at.tawˈħiːd,core
2,Branding & Grundbegriffe,Tawḥīd,Tauhiid,tawˈħiːd,core
3,Branding & Grundbegriffe,ʿAqīdah,A-qiidah,ʕaˈqiːda,core
4,Branding & Grundbegriffe,Islām,Islaam,islaːm,core
5,Branding & Grundbegriffe,Muslim,Muslim,muslim,core
6,Branding & Grundbegriffe,Muslimah,Muslimah,muslimah,core
7,Branding & Grundbegriffe,Muslimūn,Muslimuun,muslimuːn,core
8,Branding & Grundbegriffe,Muʾmin,Mu-min,muʔmin,core
9,Branding & Grundbegriffe,Muʾminah,Mu-minah,muʔminah,core
10,Branding & Grundbegriffe,Muʾminūn,Mu-minuun,muʔminuːn,core
11,Branding & Grundbegriffe,Īmān,Iimaan,iːmaːn,core
12,Branding & Grundbegriffe,Iḥsān,Ihsaan,iħsaːn,core
13,Branding & Grundbegriffe,Dīn,Diin,diːn,core
14,Branding & Grundbegriffe,Millah,Millah,millah,core
15,Branding & Grundbegriffe,Ummah,Ummah,ummah,core
16,Branding & Grundbegriffe,Šarīʿah,Scharii-ah,ʃariːʕah,core
17,Branding & Grundbegriffe,Manhaj,Manhaj,manhaj,core
18,Branding & Grundbegriffe,Sunnah,Sunnah,sunnah,core
19,Branding & Grundbegriffe,Bidʿah,Bid-ah,bidʕah,core
20,Branding & Grundbegriffe,Salaf,Salaf,salaf,core
21,Branding & Grundbegriffe,Khalaf,Khalaf,xalaf,core
22,Branding & Grundbegriffe,Ahl as-Sunnah,Ahl as-Sunnah,ahl as.sunnah,core
23,Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
24,Branding & Grundbegriffe,Ahl al-Ḥadīṯ,Ahl al-Hadiith,ahl al.ħadiːθ,core
25,Branding & Grundbegriffe,Ahl al-Aṯar,Ahl al-Athar,ahl al.aθar,core
26,Branding & Grundbegriffe,Ahl al-Bayt,Ahl al-Bayt,ahl al.bajt,core
27,Branding & Grundbegriffe,Tawḥīd ar-Rubūbiyyah,Tawhiid ar-Rubuubiyyah,tawħiːd ar.rubuːbijjah,core
28,Branding & Grundbegriffe,Tawḥīd al-Ulūhiyyah,Tawhiid al-Uluuhiyyah,tawħiːd al.uluːhijjah,core
29,Branding & Grundbegriffe,Tawḥīd al-Asmāʾ wa-ṣ-Ṣifāt,Tawhiid al-Asmaa wa-s-Sifaat,tawħiːd al.asmaːʔ wa.sˤ.sˤifaːt,core
30,Branding & Grundbegriffe,Rubūbiyyah,Rubuubiyyah,rubuːbijjah,core
31,Branding & Grundbegriffe,Ulūhiyyah,Uluuhiyyah,uluːhijjah,core
32,Branding & Grundbegriffe,Asmāʾ wa-Ṣifāt,Asmaa wa-Sifaat,asmaːʔ wa.sˤifaːt,core
33,Branding & Grundbegriffe,Širk,Schirk,ʃirk,core
34,Branding & Grundbegriffe,Kufr,Kufr,kufr,core
35,Branding & Grundbegriffe,Nifāq,Nifaaq,nifaːq,core
36,Branding & Grundbegriffe,Riddah,Riddah,riddah,core
37,Branding & Grundbegriffe,Kāfir,Kaafir,kaːfir,core
38,Branding & Grundbegriffe,Kuffār,Kuffaar,kuffaːr,core
39,Branding & Grundbegriffe,Mušrik,Muschrik,muʃrik,core
40,Branding & Grundbegriffe,Mušrikūn,Muschrikuun,muʃrikuːn,core
41,Branding & Grundbegriffe,Munāfiq,Munaafiq,munaːfiq,core
42,Branding & Grundbegriffe,Munāfiqūn,Munaafiquun,munaːfiquːn,core
43,Branding & Grundbegriffe,Murtadd,Murtadd,murtadd,core
44,Branding & Grundbegriffe,Ṭāġūt,Taaghuut,tˤaːˈɣuːt,core
45,Branding & Grundbegriffe,Takfīr,Takfiir,takfiːr,core
46,Branding & Grundbegriffe,Takfīr al-muʿayyan,Takfiir al-mu-ayyan,takfiːr al.muʕajjan,core
47,"Allah, Lobpreisungen & Grußformeln",Allāh,Allaah,ʔalˈlaːh,core
48,"Allah, Lobpreisungen & Grußformeln",Allah,Allaah,ʔalˈlaːh,core
49,"Allah, Lobpreisungen & Grußformeln",Subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,subˈħaːnahu wa.taʕaːlaː,core
50,"Allah, Lobpreisungen & Grußformeln",subḥānahu wa-taʿālā,Subhaanahu wa ta-aalaa,subħaːnahu wa.taʕaːlaː,core
51,"Allah, Lobpreisungen & Grußformeln",ʿazza wa-ǧall,Azza wa dschall,ʕazza wa d͡ʒall,core
52,"Allah, Lobpreisungen & Grußformeln",ʿazza wa-jall,Azza wa dschall,ʕazza wa.d͡ʒall,core
53,"Allah, Lobpreisungen & Grußformeln",tabāraka wa-taʿālā,tabaaraka wa-ta-aalaa,tabaːraka wa.taʕaːlaː,core
54,"Allah, Lobpreisungen & Grußformeln",ṣallā llāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
55,"Allah, Lobpreisungen & Grußformeln",ṣallā Allāhu ʿalayhi wa-sallam,Sallallaahu alaihi wa sallam,sˤalˈlaː lˈlaːhu ʕaˈlajhi waˈsallam,core
56,"Allah, Lobpreisungen & Grußformeln",ʿalayhi s-salām,Alaihis-Salaam,ʕaˈlajhis.saˈlaːm,core
57,"Allah, Lobpreisungen & Grußformeln",ʿalayhā s-salām,Alaihas-Salaam,ʕaˈlajhaːs.saˈlaːm,core
58,"Allah, Lobpreisungen & Grußformeln",ʿalayhimā s-salām,Alaihimas-Salaam,ʕaˈlajhimaːs.saˈlaːm,core
59,"Allah, Lobpreisungen & Grußformeln",ʿalayhimu s-salām,Alaihimus-Salaam,ʕaˈlajhimus.saˈlaːm,core
60,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhu,Radiyallaahu anhu,radˤi.jalˈlaːhu ʕanhu,core
61,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhā,Radiyallaahu anhaa,radˤi.jalˈlaːhu ʕanhaː,core
62,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhumā,Radiyallaahu anhumaa,radˤi.jalˈlaːhu ʕanhumaː,core
63,"Allah, Lobpreisungen & Grußformeln",raḍiya llāhu ʿanhum,Radiyallaahu anhum,radˤi.jalˈlaːhu ʕanhum,core
64,"Allah, Lobpreisungen & Grußformeln",raḥimahu llāh,Rahimahullaah,raħimahulˈlaːh,core
65,"Allah, Lobpreisungen & Grußformeln",raḥimahā llāh,Rahimahallaah,raħimahaː llaːh,core
66,"Allah, Lobpreisungen & Grußformeln",raḥimahumu llāh,Rahimahumullaah,raħimahumu llaːh,core
67,"Allah, Lobpreisungen & Grußformeln",ḥafiẓahu llāh,hafizahu llaah,ħafiðˤahu llaːh,core
68,"Allah, Lobpreisungen & Grußformeln",Bismi llāh,Bismillaah,bismi llaːh,core
69,"Allah, Lobpreisungen & Grußformeln",Bismillāh,Bismillaah,bismilˈlaːh,core
70,"Allah, Lobpreisungen & Grußformeln",al-ḥamdu li-llāh,al-hamdu li-llaah,al.ħamdu li.llaːh,core
71,"Allah, Lobpreisungen & Grußformeln",Alḥamdulillāh,Alhamdulillaah,alħamdu lilˈlaːh,core
72,"Allah, Lobpreisungen & Grußformeln",Subḥānallāh,Subhaanallaah,subħaːnalˈlaːh,core
73,"Allah, Lobpreisungen & Grußformeln",Allāhu akbar,Allaahu Akbar,alˈlaːhu ʔakbar,core
74,"Allah, Lobpreisungen & Grußformeln",lā ilāha illā llāh,Laa ilaaha illallaah,laː ilaːha illaː llaːh,core
75,"Allah, Lobpreisungen & Grußformeln",Lā ilāha illā Allāh,Laa ilaaha illallaah,laː ʔilaːha ʔilˈlaː lˈlaːh,core
76,"Allah, Lobpreisungen & Grußformeln",Astaghfirullāh,Astaghfirullaah,astaɣfirullaːh,core
77,"Allah, Lobpreisungen & Grußformeln",in šāʾ Allāh,in schaa Allaah,in ʃaːʔ allaːh,core
78,"Allah, Lobpreisungen & Grußformeln",In šāʾ Allāh,in schaa Allaah,in ʃaːʔ allaːh,core
79,"Allah, Lobpreisungen & Grußformeln",mā šāʾ Allāh,maa schaa Allaah,maː ʃaːʔ allaːh,core
80,"Allah, Lobpreisungen & Grußformeln",Mā šāʾ Allāh,maa schaa Allaah,maː ʃaːʔ allaːh,core
81,"Allah, Lobpreisungen & Grußformeln",bāraka llāhu fīk,baaraka llaahu fiik,baːraka llaːhu fiːk,core
82,"Allah, Lobpreisungen & Grußformeln",bāraka llāhu fīkum,baaraka llaahu fiikum,baːraka llaːhu fiːkum,core
83,"Allah, Lobpreisungen & Grußformeln",ǧazāka llāhu khayran,dschazaaka llaahu khayran,d͡ʒazaːka llaːhu xajran,core
84,"Allah, Lobpreisungen & Grußformeln",ǧazākumu llāhu khayran,dschazaakumu llaahu khayran,d͡ʒazaːkumu llaːhu xajran,core
