<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: dar_al_tawhid_islamic_pronunciation_master.csv>index,category,canonical,string_to_replace,alias,ipa,priority
0,Branding & Grundbegriffe,DĀR AL TAWḤĪD,DĀR AL TAWḤĪD,Daar at-Tauhiid,daːr at.tawˈħiːd,core
1,Branding & Grundbegriffe,DĀR AL TAWḤĪD,DAR AL TAWHID,Daar at-Tauhiid,daːr at.tawˈħiːd,core
2,Branding & Grundbegriffe,DĀR AL TAWḤĪD,dār al tawḥīd,Daar at-Tauhiid,daːr at.tawˈħiːd,core
3,Branding & Grundbegriffe,DĀR AL TAWḤĪD,dar al tawhid,Daar at-Tauhiid,daːr at.tawˈħiːd,core
4,Branding & Grundbegriffe,Dār al-Tawḥīd,Dār al-Tawḥīd,Daar at-Tauhiid,daːr at.tawˈħiːd,core
5,Branding & Grundbegriffe,Dār al-Tawḥīd,Dar al-Tawhid,Daar at-Tauhiid,daːr at.tawˈħiːd,core
6,Branding & Grundbegriffe,Dār al-Tawḥīd,dār al-tawḥīd,Daar at-Tauhiid,daːr at.tawˈħiːd,core
7,Branding & Grundbegriffe,Dār al-Tawḥīd,dar al-tawhid,Daar at-Tauhiid,daːr at.tawˈħiːd,core
8,Branding & Grundbegriffe,Tawḥīd,Tawḥīd,Tauhiid,tawˈħiːd,core
9,Branding & Grundbegriffe,Tawḥīd,Tawhid,Tauhiid,tawˈħiːd,core
10,Branding & Grundbegriffe,Tawḥīd,tawḥīd,Tauhiid,tawˈħiːd,core
11,Branding & Grundbegriffe,Tawḥīd,tawhid,Tauhiid,tawˈħiːd,core
12,Branding & Grundbegriffe,ʿAqīdah,ʿAqīdah,A-qiidah,ʕaˈqiːda,core
13,Branding & Grundbegriffe,ʿAqīdah,'Aqidah,A-qiidah,ʕaˈqiːda,core
14,Branding & Grundbegriffe,ʿAqīdah,Aqidah,A-qiidah,ʕaˈqiːda,core
15,Branding & Grundbegriffe,ʿAqīdah,ʿaqīdah,A-qiidah,ʕaˈqiːda,core
16,Branding & Grundbegriffe,ʿAqīdah,'aqidah,A-qiidah,ʕaˈqiːda,core
17,Branding & Grundbegriffe,ʿAqīdah,aqidah,A-qiidah,ʕaˈqiːda,core
18,Branding & Grundbegriffe,Islām,Islām,Islaam,islaːm,core
19,Branding & Grundbegriffe,Islām,Islam,Islaam,islaːm,core
20,Branding & Grundbegriffe,Islām,islām,Islaam,islaːm,core
21,Branding & Grundbegriffe,Islām,islam,Islaam,islaːm,core
22,Branding & Grundbegriffe,Muslim,Muslim,Muslim,muslim,core
23,Branding & Grundbegriffe,Muslim,muslim,Muslim,muslim,core
24,Branding & Grundbegriffe,Muslimah,Muslimah,Muslimah,muslimah,core
25,Branding & Grundbegriffe,Muslimah,muslimah,Muslimah,muslimah,core
26,Branding & Grundbegriffe,Muslimūn,Muslimūn,Muslimuun,muslimuːn,core
27,Branding & Grundbegriffe,Muslimūn,Muslimun,Muslimuun,muslimuːn,core
28,Branding & Grundbegriffe,Muslimūn,muslimūn,Muslimuun,muslimuːn,core
29,Branding & Grundbegriffe,Muslimūn,muslimun,Muslimuun,muslimuːn,core
30,Branding & Grundbegriffe,Muʾmin,Muʾmin,Mu-min,muʔmin,core
31,Branding & Grundbegriffe,Muʾmin,Mu'min,Mu-min,muʔmin,core
32,Branding & Grundbegriffe,Muʾmin,Mumin,Mu-min,muʔmin,core
33,Branding & Grundbegriffe,Muʾmin,muʾmin,Mu-min,muʔmin,core
34,Branding & Grundbegriffe,Muʾmin,mu'min,Mu-min,muʔmin,core
35,Branding & Grundbegriffe,Muʾmin,mumin,Mu-min,muʔmin,core
36,Branding & Grundbegriffe,Muʾminah,Muʾminah,Mu-minah,muʔminah,core
37,Branding & Grundbegriffe,Muʾminah,Mu'minah,Mu-minah,muʔminah,core
38,Branding & Grundbegriffe,Muʾminah,Muminah,Mu-minah,muʔminah,core
39,Branding & Grundbegriffe,Muʾminah,muʾminah,Mu-minah,muʔminah,core
40,Branding & Grundbegriffe,Muʾminah,mu'minah,Mu-minah,muʔminah,core
41,Branding & Grundbegriffe,Muʾminah,muminah,Mu-minah,muʔminah,core
42,Branding & Grundbegriffe,Muʾminūn,Muʾminūn,Mu-minuun,muʔminuːn,core
43,Branding & Grundbegriffe,Muʾminūn,Mu'minun,Mu-minuun,muʔminuːn,core
44,Branding & Grundbegriffe,Muʾminūn,Muminun,Mu-minuun,muʔminuːn,core
45,Branding & Grundbegriffe,Muʾminūn,muʾminūn,Mu-minuun,muʔminuːn,core
46,Branding & Grundbegriffe,Muʾminūn,mu'minun,Mu-minuun,muʔminuːn,core
47,Branding & Grundbegriffe,Muʾminūn,muminun,Mu-minuun,muʔminuːn,core
48,Branding & Grundbegriffe,Īmān,Īmān,Iimaan,iːmaːn,core
49,Branding & Grundbegriffe,Īmān,Iman,Iimaan,iːmaːn,core
50,Branding & Grundbegriffe,Īmān,īmān,Iimaan,iːmaːn,core
51,Branding & Grundbegriffe,Īmān,iman,Iimaan,iːmaːn,core
52,Branding & Grundbegriffe,Iḥsān,Iḥsān,Ihsaan,iħsaːn,core
53,Branding & Grundbegriffe,Iḥsān,Ihsan,Ihsaan,iħsaːn,core
54,Branding & Grundbegriffe,Iḥsān,iḥsān,Ihsaan,iħsaːn,core
55,Branding & Grundbegriffe,Iḥsān,ihsan,Ihsaan,iħsaːn,core
56,Branding & Grundbegriffe,Dīn,Dīn,Diin,diːn,core
57,Branding & Grundbegriffe,Dīn,Din,Diin,diːn,core
58,Branding & Grundbegriffe,Dīn,dīn,Diin,diːn,core
59,Branding & Grundbegriffe,Dīn,din,Diin,diːn,core
60,Branding & Grundbegriffe,Millah,Millah,Millah,millah,core
61,Branding & Grundbegriffe,Millah,millah,Millah,millah,core
62,Branding & Grundbegriffe,Ummah,Ummah,Ummah,ummah,core
63,Branding & Grundbegriffe,Ummah,ummah,Ummah,ummah,core
64,Branding & Grundbegriffe,Šarīʿah,Šarīʿah,Scharii-ah,ʃariːʕah,core
65,Branding & Grundbegriffe,Šarīʿah,Shari'ah,Scharii-ah,ʃariːʕah,core
66,Branding & Grundbegriffe,Šarīʿah,Shariah,Scharii-ah,ʃariːʕah,core
67,Branding & Grundbegriffe,Šarīʿah,šarīʿah,Scharii-ah,ʃariːʕah,core
68,Branding & Grundbegriffe,Šarīʿah,shari'ah,Scharii-ah,ʃariːʕah,core
69,Branding & Grundbegriffe,Šarīʿah,shariah,Scharii-ah,ʃariːʕah,core
70,Branding & Grundbegriffe,Manhaj,Manhaj,Manhaj,manhaj,core
71,Branding & Grundbegriffe,Manhaj,manhaj,Manhaj,manhaj,core
72,Branding & Grundbegriffe,Sunnah,Sunnah,Sunnah,sunnah,core
73,Branding & Grundbegriffe,Sunnah,sunnah,Sunnah,sunnah,core
74,Branding & Grundbegriffe,Bidʿah,Bidʿah,Bid-ah,bidʕah,core
75,Branding & Grundbegriffe,Bidʿah,Bid'ah,Bid-ah,bidʕah,core
76,Branding & Grundbegriffe,Bidʿah,Bidah,Bid-ah,bidʕah,core
77,Branding & Grundbegriffe,Bidʿah,bidʿah,Bid-ah,bidʕah,core
78,Branding & Grundbegriffe,Bidʿah,bid'ah,Bid-ah,bidʕah,core
79,Branding & Grundbegriffe,Bidʿah,bidah,Bid-ah,bidʕah,core
80,Branding & Grundbegriffe,Salaf,Salaf,Salaf,salaf,core
81,Branding & Grundbegriffe,Salaf,salaf,Salaf,salaf,core
82,Branding & Grundbegriffe,Khalaf,Khalaf,Khalaf,xalaf,core
83,Branding & Grundbegriffe,Khalaf,khalaf,Khalaf,xalaf,core
84,Branding & Grundbegriffe,Ahl as-Sunnah,Ahl as-Sunnah,Ahl as-Sunnah,ahl as.sunnah,core
85,Branding & Grundbegriffe,Ahl as-Sunnah,ahl as-sunnah,Ahl as-Sunnah,ahl as.sunnah,core
86,Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
87,Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Jama'ah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
88,Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,Ahl as-Sunnah wa-l-Jamaah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
89,Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,ahl as-sunnah wa-l-ǧamāʿah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
90,Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,ahl as-sunnah wa-l-jama'ah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
91,Branding & Grundbegriffe,Ahl as-Sunnah wa-l-Ǧamāʿah,ahl as-sunnah wa-l-jamaah,Ahl as-Sunnah wa-l-Dschamaa-ah,ahl as.sunnah wa.l.d͡ʒamaːʕah,core
92,Branding & Grundbegriffe,Ahl al-Ḥadīṯ,Ahl al-Ḥadīṯ,Ahl al-Hadiith,ahl al.ħadiːθ,core
93,Branding & Grundbegriffe,Ahl al-Ḥadīṯ,Ahl al-Hadith,Ahl al-Hadiith,ahl al.ħadiːθ,core
94,Branding & Grundbegriffe,Ahl al-Ḥadīṯ,ahl al-ḥadīṯ,Ahl al-Hadiith,ahl al.ħadiːθ,core
95,Branding & Grundbegriffe,Ahl al-Ḥadīṯ,ahl al-hadith,Ahl al-Hadiith,ahl al.ħadiːθ,core
96,Branding & Grundbegriffe,Ahl al-Aṯar,Ahl al-Aṯar,Ahl al-Athar,ahl al.aθar,core
97,Branding & Grundbegriffe,Ahl al-Aṯar,Ahl al-Athar,Ahl al-Athar,ahl al.aθar,core
98,Branding & Grundbegriffe,Ahl al-Aṯar,ahl al-aṯar,Ahl al-Athar,ahl al.aθar,core
99,Branding & Grundbegriffe,Ahl al-Aṯar,ahl al-athar,Ahl al-Athar,ahl al.aθar,core
100,Branding & Grundbegriffe,Ahl al-Bayt,Ahl al-Bayt,Ahl al-Bayt,ahl al.bajt,core
101,Branding & Grundbegriffe,Ahl al-Bayt,ahl al-bayt,Ahl al-Bayt,ahl al.bajt,core
102,Branding & Grundbegriffe,Tawḥīd ar-Rubūbiyyah,Tawḥīd ar-Rubūbiyyah,Tawhiid ar-Rubuubiyyah,tawħiːd ar.rubuːbijjah,core
